fasta order,tip_labels,tip_labels_alt1,tip_labels_alt2,processid,detailed_species,species,info_group,info_group_species,BIN,region_NZ,Locality,Source_type,Genus,family,order,sampleid,GMYC_spec,country,region_public,,,,new_labels,,,,,,,,new_labels_subsets
41,GBMIN140357_18|Keratella_sp._WM_2017d|COI_5P|LC215546,GBMIN140357-18|Keratella-sp._WM-2017d|COI-5P|LC215546,GBMIN140357-18_Keratella-sp._WM-2017d_COI-5P_LC215546,GBMIN140357-18,Keratella-sp. WM-2017d,Keratella tropica,aaPublic,aaPublic,BOLD:AAU3067,,NA,Public,Keratella,Brachionidae,Ploima,LC215546,GMYC:46,Japan,Lake Kasumigaura,italic(`,`)~(`,`),italic(`Keratella tropica`)~(`BOLD:AAU3067`)~(`GMYC:46`)~(`Japan`),(`,BOLD:AAU3067,`)~(`,GMYC:46,`)~(`,Japan,`),(`BOLD:AAU3067`)~(`GMYC:46`)~(`Japan`)
42,GBMIN140358_18|Keratella_sp._WM_2017d|COI_5P|LC215545,GBMIN140358-18|Keratella-sp._WM-2017d|COI-5P|LC215545,GBMIN140358-18_Keratella-sp._WM-2017d_COI-5P_LC215545,GBMIN140358-18,Keratella-sp. WM-2017d,Keratella tropica,aaPublic,aaPublic,BOLD:AAU3067,,NA,Public,Keratella,Brachionidae,Ploima,LC215545,GMYC:46,Japan,Lake Kasumigaura,italic(`,`)~(`,`),italic(`Keratella tropica`)~(`BOLD:AAU3067`)~(`GMYC:46`)~(`Japan`),(`,BOLD:AAU3067,`)~(`,GMYC:46,`)~(`,Japan,`),(`BOLD:AAU3067`)~(`GMYC:46`)~(`Japan`)
43,GBMIN140359_18|Keratella_sp._WM_2017d|COI_5P|LC215542,GBMIN140359-18|Keratella-sp._WM-2017d|COI-5P|LC215542,GBMIN140359-18_Keratella-sp._WM-2017d_COI-5P_LC215542,GBMIN140359-18,Keratella-sp. WM-2017d,Keratella tropica,aaPublic,aaPublic,BOLD:AAU3067,,NA,Public,Keratella,Brachionidae,Ploima,LC215542,GMYC:46,Japan,Lake Kasumigaura,italic(`,`)~(`,`),italic(`Keratella tropica`)~(`BOLD:AAU3067`)~(`GMYC:46`)~(`Japan`),(`,BOLD:AAU3067,`)~(`,GMYC:46,`)~(`,Japan,`),(`BOLD:AAU3067`)~(`GMYC:46`)~(`Japan`)
44,GBMIN140360_18|Keratella_sp._WM_2017d|COI_5P|LC215544,GBMIN140360-18|Keratella-sp._WM-2017d|COI-5P|LC215544,GBMIN140360-18_Keratella-sp._WM-2017d_COI-5P_LC215544,GBMIN140360-18,Keratella-sp. WM-2017d,Keratella tropica,aaPublic,aaPublic,BOLD:AAU3067,,NA,Public,Keratella,Brachionidae,Ploima,LC215544,GMYC:46,Japan,Lake Kasumigaura,italic(`,`)~(`,`),italic(`Keratella tropica`)~(`BOLD:AAU3067`)~(`GMYC:46`)~(`Japan`),(`,BOLD:AAU3067,`)~(`,GMYC:46,`)~(`,Japan,`),(`BOLD:AAU3067`)~(`GMYC:46`)~(`Japan`)
45,GBMIN140362_18|Keratella_sp._WM_2017e|COI_5P|LC215548,GBMIN140362-18|Keratella-sp._WM-2017e|COI-5P|LC215548,GBMIN140362-18_Keratella-sp._WM-2017e_COI-5P_LC215548,GBMIN140362-18,Keratella-sp. WM-2017e,Keratella tropica,aaPublic,aaPublic,BOLD:ADM1238,,NA,Public,Keratella,Brachionidae,Ploima,LC215548,GMYC:45,Japan,Lake Kasumigaura,italic(`,`)~(`,`),italic(`Keratella tropica`)~(`BOLD:ADM1238`)~(`GMYC:45`)~(`Japan`),(`,BOLD:ADM1238,`)~(`,GMYC:45,`)~(`,Japan,`),(`BOLD:ADM1238`)~(`GMYC:45`)~(`Japan`)
46,GBMIN140378_18|Polyarthra_sp._WM_2017d|COI_5P|LC215569,GBMIN140378-18|Polyarthra-sp._WM-2017d|COI-5P|LC215569,GBMIN140378-18_Polyarthra-sp._WM-2017d_COI-5P_LC215569,GBMIN140378-18,Polyarthra-sp. WM-2017d,Polyarthra dolichoptera,aaPublic,aaPublic,BOLD:ADM0437,,NA,Public,Polyarthra,Synchaetidae,Ploima,LC215569,GMYC:35,Japan,Lake Kasumigaura,italic(`,`)~(`,`),italic(`Polyarthra dolichoptera`)~(`BOLD:ADM0437`)~(`GMYC:35`)~(`Japan`),(`,BOLD:ADM0437,`)~(`,GMYC:35,`)~(`,Japan,`),(`BOLD:ADM0437`)~(`GMYC:35`)~(`Japan`)
47,GBMIN140378_18|Polyarthra_sp._WM_2017d|COI_5P|LC215569_sp._WM_2017d|COI_5P|LC215569,GBMIN140378-18|Polyarthra-sp._WM-2017d|COI-5P|LC215569_sp._WM-2017d|COI-5P|LC215569,GBMIN140378-18_Polyarthra-sp._WM-2017d_COI-5P_LC215569,GBMIN140378-18,Polyarthra-sp. WM-2017d,Polyarthra dolichoptera,aaPublic,aaPublic,BOLD:ADM0437,,NA,Public,Polyarthra,Synchaetidae,Ploima,LC215569,GMYC:35,Japan,Lake Kasumigaura,italic(`,`)~(`,`),italic(`Polyarthra dolichoptera`)~(`BOLD:ADM0437`)~(`GMYC:35`)~(`Japan`),(`,BOLD:ADM0437,`)~(`,GMYC:35,`)~(`,Japan,`),(`BOLD:ADM0437`)~(`GMYC:35`)~(`Japan`)
48,GBMIN140495_18|Synchaeta_pectinata|COI_5P|KP875653,GBMIN140495-18|Synchaeta-pectinata|COI-5P|KP875653,GBMIN140495-18_Synchaeta-pectinata_COI-5P_KP875653,GBMIN140495-18,Synchaeta-pectinata,Synchaeta pectinata,aaPublic,aaPublic,BOLD:ADM0150,,NA,Public,Synchaeta,Synchaetidae,Ploima,KP875653,GMYC:136,NA,NA,italic(`,`)~(`,`),italic(`Synchaeta pectinata`)~(`BOLD:ADM0150`)~(`GMYC:136`)~(`NA`),(`,BOLD:ADM0150,`)~(`,GMYC:136,`)~(`,NA,`),(`BOLD:ADM0150`)~(`GMYC:136`)~(`NA`)
49,GBMIN140524_18|Trichocerca_sp._WM_2017b|COI_5P|LC215605,GBMIN140524-18|Trichocerca-sp._WM-2017b|COI-5P|LC215605,GBMIN140524-18_Trichocerca-sp._WM-2017b_COI-5P_LC215605,GBMIN140524-18,Trichocerca-sp. WM-2017b,Trichocerca sp.,aaPublic,aaPublic,BOLD:ADL9176,,NA,Public,Trichocerca,Trichocercidae,Ploima,LC215605,GMYC:137,Japan,Lake Kasumigaura,italic(`,`)~(`,`),italic(`Trichocerca sp.`)~(`BOLD:ADL9176`)~(`GMYC:137`)~(`Japan`),(`,BOLD:ADL9176,`)~(`,GMYC:137,`)~(`,Japan,`),(`BOLD:ADL9176`)~(`GMYC:137`)~(`Japan`)
52,GBSP10066_13|Keratella_cochlearis|COI_5P|KC618824,GBSP10066-13|Keratella-cochlearis|COI-5P|KC618824,GBSP10066-13_Keratella-cochlearis_COI-5P_KC618824,GBSP10066-13,Keratella-cochlearis,Keratella cochlearis,aaPublic,aaPublic,BOLD:AAZ5138,,NA,Public,Keratella,Brachionidae,Ploima,KC618824,GMYC:39,NA,NA,italic(`,`)~(`,`),italic(`Keratella cochlearis`)~(`BOLD:AAZ5138`)~(`GMYC:39`)~(`NA`),(`,BOLD:AAZ5138,`)~(`,GMYC:39,`)~(`,NA,`),(`BOLD:AAZ5138`)~(`GMYC:39`)~(`NA`)
53,GBSP10086_13|Ascomorpha_ovalis|COI_5P|KC618804,GBSP10086-13|Ascomorpha-ovalis|COI-5P|KC618804,GBSP10086-13_Ascomorpha-ovalis_COI-5P_KC618804,GBSP10086-13,Ascomorpha-ovalis,Ascomorpha ovalis,aaPublic,aaPublic,BOLD:ACH8743,,NA,Public,Ascomorpha,Gastropodidae,Ploima,KC618804,GMYC:23,NA,NA,italic(`,`)~(`,`),italic(`Ascomorpha ovalis`)~(`BOLD:ACH8743`)~(`GMYC:23`)~(`NA`),(`,BOLD:ACH8743,`)~(`,GMYC:23,`)~(`,NA,`),(`BOLD:ACH8743`)~(`GMYC:23`)~(`NA`)
54,GBSP10093_13|Ascomorpha_ovalis|COI_5P|KC618797,GBSP10093-13|Ascomorpha-ovalis|COI-5P|KC618797,GBSP10093-13_Ascomorpha-ovalis_COI-5P_KC618797,GBSP10093-13,Ascomorpha-ovalis,Ascomorpha ovalis,aaPublic,aaPublic,BOLD:ACH4461,,NA,Public,Ascomorpha,Gastropodidae,Ploima,KC618797,GMYC:23,NA,NA,italic(`,`)~(`,`),italic(`Ascomorpha ovalis`)~(`BOLD:ACH4461`)~(`GMYC:23`)~(`NA`),(`,BOLD:ACH4461,`)~(`,GMYC:23,`)~(`,NA,`),(`BOLD:ACH4461`)~(`GMYC:23`)~(`NA`)
55,GBSP10209_16|Polyarthra_dolichoptera|COI_5P|KJ460407,GBSP10209-16|Polyarthra-dolichoptera|COI-5P|KJ460407,GBSP10209-16_Polyarthra-dolichoptera_COI-5P_KJ460407,GBSP10209-16,Polyarthra-dolichoptera,Polyarthra dolichoptera,aaPublic,aaPublic,BOLD:ACC0030,,NA,Public,Polyarthra,Synchaetidae,Ploima,KJ460407,GMYC:76,Italy,NA,italic(`,`)~(`,`),italic(`Polyarthra dolichoptera`)~(`BOLD:ACC0030`)~(`GMYC:76`)~(`Italy`),(`,BOLD:ACC0030,`)~(`,GMYC:76,`)~(`,Italy,`),(`BOLD:ACC0030`)~(`GMYC:76`)~(`Italy`)
56,GBSP10915_19|Brachionus_quadridentatus|COI_5P|KU720083,GBSP10915-19|Brachionus-quadridentatus|COI-5P|KU720083,GBSP10915-19_Brachionus-quadridentatus_COI-5P_KU720083,GBSP10915-19,Brachionus-quadridentatus,Brachionus quadridentatus,aaPublic,aaPublic,BOLD:ADW0428,,NA,Public,Brachionus,Brachionidae,Ploima,KU720083,GMYC:87,China,NA,italic(`,`)~(`,`),italic(`Brachionus quadridentatus`)~(`BOLD:ADW0428`)~(`GMYC:87`)~(`China`),(`,BOLD:ADW0428,`)~(`,GMYC:87,`)~(`,China,`),(`BOLD:ADW0428`)~(`GMYC:87`)~(`China`)
57,GBSP15070_19|Lecane_bulla|COI_5P|EU188932,GBSP15070-19|Lecane-bulla|COI-5P|EU188932,GBSP15070-19_Lecane-bulla_COI-5P_EU188932,GBSP15070-19,Lecane-bulla,Lecane bulla,aaPublic,aaPublic,NA,,NA,Public,Lecane,Lecanidae,Ploima,EU188932,GMYC:124,NA,NA,italic(`,`)~(`,`),italic(`Lecane bulla`)~(`NA`)~(`GMYC:124`)~(`NA`),(`,NA,`)~(`,GMYC:124,`)~(`,NA,`),(`NA`)~(`GMYC:124`)~(`NA`)
58,GBSP15071_19|Lecane_bulla|COI_5P|EU188927,GBSP15071-19|Lecane-bulla|COI-5P|EU188927,GBSP15071-19_Lecane-bulla_COI-5P_EU188927,GBSP15071-19,Lecane-bulla,Lecane bulla,aaPublic,aaPublic,NA,,NA,Public,Lecane,Lecanidae,Ploima,EU188927,GMYC:127,NA,NA,italic(`,`)~(`,`),italic(`Lecane bulla`)~(`NA`)~(`GMYC:127`)~(`NA`),(`,NA,`)~(`,GMYC:127,`)~(`,NA,`),(`NA`)~(`GMYC:127`)~(`NA`)
59,GBSP15159_19|Brachionus_calyciflorus|COI_5P|KT730031,GBSP15159-19|Brachionus-calyciflorus|COI-5P|KT730031,GBSP15159-19_Brachionus-calyciflorus_COI-5P_KT730031,GBSP15159-19,Brachionus-calyciflorus,Brachionus calyciflorus,aaPublic,aaPublic,BOLD:AAT8863,,NA,Public,Brachionus,Brachionidae,Ploima,KT730031,GMYC:19,Netherlands,NA,italic(`,`)~(`,`),italic(`Brachionus calyciflorus`)~(`BOLD:AAT8863`)~(`GMYC:19`)~(`Netherlands`),(`,BOLD:AAT8863,`)~(`,GMYC:19,`)~(`,Netherlands,`),(`BOLD:AAT8863`)~(`GMYC:19`)~(`Netherlands`)
60,GBSP15186_19|Polyarthra_vulgaris|COI_5P|KJ460380,GBSP15186-19|Polyarthra-vulgaris|COI-5P|KJ460380,GBSP15186-19_Polyarthra-vulgaris_COI-5P_KJ460380,GBSP15186-19,Polyarthra-vulgaris,Polyarthra vulgaris,aaPublic,aaPublic,NA,,NA,Public,Polyarthra,Synchaetidae,Ploima,KJ460380,GMYC:74,Italy,NA,italic(`,`)~(`,`),italic(`Polyarthra vulgaris`)~(`NA`)~(`GMYC:74`)~(`Italy`),(`,NA,`)~(`,GMYC:74,`)~(`,Italy,`),(`NA`)~(`GMYC:74`)~(`Italy`)
61,GBSP15374_19|Keratella_cochlearis|COI_5P|KT986365,GBSP15374-19|Keratella-cochlearis|COI-5P|KT986365,GBSP15374-19_Keratella-cochlearis_COI-5P_KT986365,GBSP15374-19,Keratella-cochlearis,Keratella cochlearis,aaPublic,aaPublic,BOLD:AAZ5138,,NA,Public,Keratella,Brachionidae,Ploima,KT986365,GMYC:39,NA,NA,italic(`,`)~(`,`),italic(`Keratella cochlearis`)~(`BOLD:AAZ5138`)~(`GMYC:39`)~(`NA`),(`,BOLD:AAZ5138,`)~(`,GMYC:39,`)~(`,NA,`),(`BOLD:AAZ5138`)~(`GMYC:39`)~(`NA`)
62,GBSP15391_19|Keratella_cochlearis|COI_5P|KT986484,GBSP15391-19|Keratella-cochlearis|COI-5P|KT986484,GBSP15391-19_Keratella-cochlearis_COI-5P_KT986484,GBSP15391-19,Keratella-cochlearis,Keratella cochlearis,aaPublic,aaPublic,BOLD:ADL9733,,NA,Public,Keratella,Brachionidae,Ploima,KT986484,GMYC:109,NA,NA,italic(`,`)~(`,`),italic(`Keratella cochlearis`)~(`BOLD:ADL9733`)~(`GMYC:109`)~(`NA`),(`,BOLD:ADL9733,`)~(`,GMYC:109,`)~(`,NA,`),(`BOLD:ADL9733`)~(`GMYC:109`)~(`NA`)
63,GBSP15483_19|Brachionus_angularis|COI_5P|KY749380,GBSP15483-19|Brachionus-angularis|COI-5P|KY749380,GBSP15483-19_Brachionus-angularis_COI-5P_KY749380,GBSP15483-19,Brachionus-angularis,Brachionus angularis,aaPublic,aaPublic,BOLD:ADX6006,,NA,Public,Brachionus,Brachionidae,Ploima,KY749380,GMYC:91,Spain,NA,italic(`,`)~(`,`),italic(`Brachionus angularis`)~(`BOLD:ADX6006`)~(`GMYC:91`)~(`Spain`),(`,BOLD:ADX6006,`)~(`,GMYC:91,`)~(`,Spain,`),(`BOLD:ADX6006`)~(`GMYC:91`)~(`Spain`)
64,GBSP15494_19|Brachionus_quadridentatus|COI_5P|KY749407,GBSP15494-19|Brachionus-quadridentatus|COI-5P|KY749407,GBSP15494-19_Brachionus-quadridentatus_COI-5P_KY749407,GBSP15494-19,Brachionus-quadridentatus,Brachionus quadridentatus,aaPublic,aaPublic,BOLD:ABA7390,,NA,Public,Brachionus,Brachionidae,Ploima,KY749407,GMYC:16,Spain,NA,italic(`,`)~(`,`),italic(`Brachionus quadridentatus`)~(`BOLD:ABA7390`)~(`GMYC:16`)~(`Spain`),(`,BOLD:ABA7390,`)~(`,GMYC:16,`)~(`,Spain,`),(`BOLD:ABA7390`)~(`GMYC:16`)~(`Spain`)
65,GBSP15524_19|Hexarthra_mira|COI_5P|KY749458,GBSP15524-19|Hexarthra-mira|COI-5P|KY749458,GBSP15524-19_Hexarthra-mira_COI-5P_KY749458,GBSP15524-19,Hexarthra-mira,Hexarthra mira,aaPublic,aaPublic,BOLD:ADW7310,,NA,Public,Hexarthra,Hexarthridae,Flosculariacea,KY749458,GMYC:153,Spain,NA,italic(`,`)~(`,`),italic(`Hexarthra mira`)~(`BOLD:ADW7310`)~(`GMYC:153`)~(`Spain`),(`,BOLD:ADW7310,`)~(`,GMYC:153,`)~(`,Spain,`),(`BOLD:ADW7310`)~(`GMYC:153`)~(`Spain`)
66,GBSP15536_19|Keratella_tropica|COI_5P|KY749470,GBSP15536-19|Keratella-tropica|COI-5P|KY749470,GBSP15536-19_Keratella-tropica_COI-5P_KY749470,GBSP15536-19,Keratella-tropica,Keratella tropica,aaPublic,aaPublic,BOLD:ADW6739,,NA,Public,Keratella,Brachionidae,Ploima,KY749470,GMYC:116,Spain,NA,italic(`,`)~(`,`),italic(`Keratella tropica`)~(`BOLD:ADW6739`)~(`GMYC:116`)~(`Spain`),(`,BOLD:ADW6739,`)~(`,GMYC:116,`)~(`,Spain,`),(`BOLD:ADW6739`)~(`GMYC:116`)~(`Spain`)
67,GBSP15542_19|Keratella_tropica|COI_5P|KY749476,GBSP15542-19|Keratella-tropica|COI-5P|KY749476,GBSP15542-19_Keratella-tropica_COI-5P_KY749476,GBSP15542-19,Keratella-tropica,Keratella tropica,aaPublic,aaPublic,BOLD:ADW6738,,NA,Public,Keratella,Brachionidae,Ploima,KY749476,GMYC:115,Spain,NA,italic(`,`)~(`,`),italic(`Keratella tropica`)~(`BOLD:ADW6738`)~(`GMYC:115`)~(`Spain`),(`,BOLD:ADW6738,`)~(`,GMYC:115,`)~(`,Spain,`),(`BOLD:ADW6738`)~(`GMYC:115`)~(`Spain`)
68,GBSP15547_19|Filinia_longiseta|COI_5P|KY749484,GBSP15547-19|Filinia-longiseta|COI-5P|KY749484,GBSP15547-19_Filinia-longiseta_COI-5P_KY749484,GBSP15547-19,Filinia-longiseta,Filinia longiseta,aaPublic,aaPublic,BOLD:ADW6405,,NA,Public,Filinia,Filiniidae,Flosculariacea,KY749484,GMYC:149,Spain,NA,italic(`,`)~(`,`),italic(`Filinia longiseta`)~(`BOLD:ADW6405`)~(`GMYC:149`)~(`Spain`),(`,BOLD:ADW6405,`)~(`,GMYC:149,`)~(`,Spain,`),(`BOLD:ADW6405`)~(`GMYC:149`)~(`Spain`)
69,GBSP15566_19|Trichocerca_similis|COI_5P|KY749503,GBSP15566-19|Trichocerca-similis|COI-5P|KY749503,GBSP15566-19_Trichocerca-similis_COI-5P_KY749503,GBSP15566-19,Trichocerca-similis,Trichocerca similis,aaPublic,aaPublic,BOLD:ADX4662,,NA,Public,Trichocerca,Trichocercidae,Ploima,KY749503,GMYC:78,Spain,NA,italic(`,`)~(`,`),italic(`Trichocerca similis`)~(`BOLD:ADX4662`)~(`GMYC:78`)~(`Spain`),(`,BOLD:ADX4662,`)~(`,GMYC:78,`)~(`,Spain,`),(`BOLD:ADX4662`)~(`GMYC:78`)~(`Spain`)
70,GBSP15593_19|Lecane_closterocerca|COI_5P|KY749535,GBSP15593-19|Lecane-closterocerca|COI-5P|KY749535,GBSP15593-19_Lecane-closterocerca_COI-5P_KY749535,GBSP15593-19,Lecane-closterocerca,Lecane closterocerca,aaPublic,aaPublic,BOLD:ADX1677,,NA,Public,Lecane,Lecanidae,Ploima,KY749535,GMYC:141,Spain,NA,italic(`,`)~(`,`),italic(`Lecane closterocerca`)~(`BOLD:ADX1677`)~(`GMYC:141`)~(`Spain`),(`,BOLD:ADX1677,`)~(`,GMYC:141,`)~(`,Spain,`),(`BOLD:ADX1677`)~(`GMYC:141`)~(`Spain`)
71,GBSP15598_19|Asplanchna_brightwellii|COI_5P|KY749540,GBSP15598-19|Asplanchna-brightwellii|COI-5P|KY749540,GBSP15598-19_Asplanchna-brightwellii_COI-5P_KY749540,GBSP15598-19,Asplanchna-brightwellii,Asplanchna brightwellii,aaPublic,aaPublic,BOLD:ADW7707,,NA,Public,Asplanchna,Asplanchnidae,Ploima,KY749540,GMYC:146,Spain,NA,italic(`,`)~(`,`),italic(`Asplanchna brightwellii`)~(`BOLD:ADW7707`)~(`GMYC:146`)~(`Spain`),(`,BOLD:ADW7707,`)~(`,GMYC:146,`)~(`,Spain,`),(`BOLD:ADW7707`)~(`GMYC:146`)~(`Spain`)
72,GBSP15633_19|Asplanchna_sp._WM_2017b|COI_5P|LC215492,GBSP15633-19|Asplanchna-sp._WM-2017b|COI-5P|LC215492,GBSP15633-19_Asplanchna-sp._WM-2017b_COI-5P_LC215492,GBSP15633-19,Asplanchna-sp. WM-2017b,Asplanchna priodonta,aaPublic,aaPublic,BOLD:AAZ3168,,NA,Public,Asplanchna,Asplanchnidae,Ploima,LC215492,GMYC:144,Japan,NA,italic(`,`)~(`,`),italic(`Asplanchna priodonta`)~(`BOLD:AAZ3168`)~(`GMYC:144`)~(`Japan`),(`,BOLD:AAZ3168,`)~(`,GMYC:144,`)~(`,Japan,`),(`BOLD:AAZ3168`)~(`GMYC:144`)~(`Japan`)
73,GBSP15647_19|Keratella_sp._WM_2017a|COI_5P|LC215527,GBSP15647-19|Keratella-sp._WM-2017a|COI-5P|LC215527,GBSP15647-19_Keratella-sp._WM-2017a_COI-5P_LC215527,GBSP15647-19,Keratella-sp. WM-2017a,Keratella cochlearis,aaPublic,aaPublic,BOLD:AAZ5138,,NA,Public,Keratella,Brachionidae,Ploima,LC215527,GMYC:41,Japan,NA,italic(`,`)~(`,`),italic(`Keratella cochlearis`)~(`BOLD:AAZ5138`)~(`GMYC:41`)~(`Japan`),(`,BOLD:AAZ5138,`)~(`,GMYC:41,`)~(`,Japan,`),(`BOLD:AAZ5138`)~(`GMYC:41`)~(`Japan`)
74,GBSP15648_19|Keratella_sp._WM_2017a|COI_5P|LC215530,GBSP15648-19|Keratella-sp._WM-2017a|COI-5P|LC215530,GBSP15648-19_Keratella-sp._WM-2017a_COI-5P_LC215530,GBSP15648-19,Keratella-sp. WM-2017a,Keratella cochlearis,aaPublic,aaPublic,BOLD:AAZ5138,,NA,Public,Keratella,Brachionidae,Ploima,LC215530,GMYC:40,Japan,NA,italic(`,`)~(`,`),italic(`Keratella cochlearis`)~(`BOLD:AAZ5138`)~(`GMYC:40`)~(`Japan`),(`,BOLD:AAZ5138,`)~(`,GMYC:40,`)~(`,Japan,`),(`BOLD:AAZ5138`)~(`GMYC:40`)~(`Japan`)
75,GBSP15657_19|Keratella_sp._WM_2017d|COI_5P|LC215543,GBSP15657-19|Keratella-sp._WM-2017d|COI-5P|LC215543,GBSP15657-19_Keratella-sp._WM-2017d_COI-5P_LC215543,GBSP15657-19,Keratella-sp. WM-2017d,Keratella tropica,aaPublic,aaPublic,BOLD:ADW6632,,NA,Public,Keratella,Brachionidae,Ploima,LC215543,GMYC:114,Japan,NA,italic(`,`)~(`,`),italic(`Keratella tropica`)~(`BOLD:ADW6632`)~(`GMYC:114`)~(`Japan`),(`,BOLD:ADW6632,`)~(`,GMYC:114,`)~(`,Japan,`),(`BOLD:ADW6632`)~(`GMYC:114`)~(`Japan`)
76,GBSP15658_19|Keratella_sp._WM_2017e|COI_5P|LC215549,GBSP15658-19|Keratella-sp._WM-2017e|COI-5P|LC215549,GBSP15658-19_Keratella-sp._WM-2017e_COI-5P_LC215549,GBSP15658-19,Keratella-sp. WM-2017e,Keratella tropica,aaPublic,aaPublic,BOLD:ADM1238,,NA,Public,Keratella,Brachionidae,Ploima,LC215549,GMYC:45,Japan,NA,italic(`,`)~(`,`),italic(`Keratella tropica`)~(`BOLD:ADM1238`)~(`GMYC:45`)~(`Japan`),(`,BOLD:ADM1238,`)~(`,GMYC:45,`)~(`,Japan,`),(`BOLD:ADM1238`)~(`GMYC:45`)~(`Japan`)
77,GBSP15661_19|Polyarthra_sp._WM_2017a|COI_5P|LC215558,GBSP15661-19|Polyarthra-sp._WM-2017a|COI-5P|LC215558,GBSP15661-19_Polyarthra-sp._WM-2017a_COI-5P_LC215558,GBSP15661-19,Polyarthra-sp. WM-2017a,Polyarthra dolichoptera,aaPublic,aaPublic,BOLD:ACH6149,,NA,Public,Polyarthra,Synchaetidae,Ploima,LC215558,GMYC:77,Japan,NA,italic(`,`)~(`,`),italic(`Polyarthra dolichoptera`)~(`BOLD:ACH6149`)~(`GMYC:77`)~(`Japan`),(`,BOLD:ACH6149,`)~(`,GMYC:77,`)~(`,Japan,`),(`BOLD:ACH6149`)~(`GMYC:77`)~(`Japan`)
78,GBSP15674_19|Filinia_sp._WM_2017a|COI_5P|LC215595,GBSP15674-19|Filinia-sp._WM-2017a|COI-5P|LC215595,GBSP15674-19_Filinia-sp._WM-2017a_COI-5P_LC215595,GBSP15674-19,Filinia-sp. WM-2017a,Filinia sp.,aaPublic,aaPublic,BOLD:ADV9603,,NA,Public,Filinia,Filiniidae,Flosculariacea,LC215595,GMYC:147,Japan,NA,italic(`,`)~(`,`),italic(`Filinia sp.`)~(`BOLD:ADV9603`)~(`GMYC:147`)~(`Japan`),(`,BOLD:ADV9603,`)~(`,GMYC:147,`)~(`,Japan,`),(`BOLD:ADV9603`)~(`GMYC:147`)~(`Japan`)
79,GBSP15675_19|Filinia_sp._WM_2017b|COI_5P|LC215596,GBSP15675-19|Filinia-sp._WM-2017b|COI-5P|LC215596,GBSP15675-19_Filinia-sp._WM-2017b_COI-5P_LC215596,GBSP15675-19,Filinia-sp. WM-2017b,Filinia sp.,aaPublic,aaPublic,BOLD:ADW1460,,NA,Public,Filinia,Filiniidae,Flosculariacea,LC215596,GMYC:148,Japan,NA,italic(`,`)~(`,`),italic(`Filinia sp.`)~(`BOLD:ADW1460`)~(`GMYC:148`)~(`Japan`),(`,BOLD:ADW1460,`)~(`,GMYC:148,`)~(`,Japan,`),(`BOLD:ADW1460`)~(`GMYC:148`)~(`Japan`)
80,GBSP15685_19|Trichocerca_sp._WM_2017f|COI_5P|LC215612,GBSP15685-19|Trichocerca-sp._WM-2017f|COI-5P|LC215612,GBSP15685-19_Trichocerca-sp._WM-2017f_COI-5P_LC215612,GBSP15685-19,Trichocerca-sp. WM-2017f,Trichocerca sp.,aaPublic,aaPublic,BOLD:ADW0803,,NA,Public,Trichocerca,Trichocercidae,Ploima,LC215612,GMYC:79,Japan,NA,italic(`,`)~(`,`),italic(`Trichocerca sp.`)~(`BOLD:ADW0803`)~(`GMYC:79`)~(`Japan`),(`,BOLD:ADW0803,`)~(`,GMYC:79,`)~(`,Japan,`),(`BOLD:ADW0803`)~(`GMYC:79`)~(`Japan`)
50,GBSP7568_13|Lecane_bulla|COI_5P|HQ444174,GBSP7568-13|Lecane-bulla|COI-5P|HQ444174,GBSP7568-13_Lecane-bulla_COI-5P_HQ444174,GBSP7568-13,Lecane-bulla,Lecane bulla,aaPublic,aaPublic,BOLD:ACH5538,,Sardinia,Public,Lecane,Lecanidae,Ploima,HQ444174,GMYC:125,Italy,Sardinia,italic(`,`)~(`,`),italic(`Lecane bulla`)~(`BOLD:ACH5538`)~(`GMYC:125`)~(`Italy`),(`,BOLD:ACH5538,`)~(`,GMYC:125,`)~(`,Italy,`),(`BOLD:ACH5538`)~(`GMYC:125`)~(`Italy`)
51,GBSP9994_13|Polyarthra_dolichoptera|COI_5P|KC618896,GBSP9994-13|Polyarthra-dolichoptera|COI-5P|KC618896,GBSP9994-13_Polyarthra-dolichoptera_COI-5P_KC618896,GBSP9994-13,Polyarthra-dolichoptera,Polyarthra dolichoptera,aaPublic,aaPublic,BOLD:ACI1948,,NA,Public,Polyarthra,Synchaetidae,Ploima,KC618896,GMYC:75,NA,NA,italic(`,`)~(`,`),italic(`Polyarthra dolichoptera`)~(`BOLD:ACI1948`)~(`GMYC:75`)~(`NA`),(`,BOLD:ACI1948,`)~(`,GMYC:75,`)~(`,NA,`),(`BOLD:ACI1948`)~(`GMYC:75`)~(`NA`)
81,JX216696.1_Lecane_hamata_voucher_ECOCHZ_AG0590_cytochrome_oxidase_subunit_1__COI__gene__partial_cds__mitochondrial,"JX216696.1_Lecane_hamata_voucher_ECOCHZ-AG0590_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",NA,JX216696,Lecane hamata,Lecane hamata,aaPublic,aaPublic,BOLD:AAX0055,,NA,Public,NA,NA,NA,NA,GMYC:72,NA,NA,italic(`,`)~(`,`),italic(`Lecane hamata`)~(`BOLD:AAX0055`)~(`GMYC:72`)~(`NA`),(`,BOLD:AAX0055,`)~(`,GMYC:72,`)~(`,NA,`),(`BOLD:AAX0055`)~(`GMYC:72`)~(`NA`)
