fasta order,tip_labels,tip_labels_alt1,tip_labels_alt2,processid,detailed_species,species,info_group,info_group_species,BIN,region_NZ,Locality,Source_type,Genus,family,order,sampleid,GMYC_spec,country,region_public,,,,new_labels,,,,,,,,new_labels_subsets
17,AGROT845_11|Lecane_lunaris_AEG1|COI_5P|JX216731,AGROT845-11|Lecane-lunaris_AEG1|COI-5P|JX216731,AGROT845-11_Lecane-lunaris_AEG1_COI-5P_JX216731,AGROT845-11,Lecane-lunaris AEG1,Lecane lunaris,aaPublic,aaPublic,BOLD:ABA0362,,Mexico,Public,Lecane,Lecanidae,Ploima,ECOCHZ-AG0847,GMYC:108,Mexico,Othon P. Blanco,italic(`,`)~(`,`),italic(`Lecane lunaris`)~(`BOLD:ABA0362`)~(`GMYC:108`)~(`Mexico`),(`,BOLD:ABA0362,`)~(`,GMYC:108,`)~(`,Mexico,`),(`BOLD:ABA0362`)~(`GMYC:108`)~(`Mexico`)
18,Collotheca_campanulata_DQ297766,Collotheca_campanulata_DQ297766,Collotheca_campanulata_DQ297766,DQ297766,Collotheca campanulata,Collotheca campanulata,aaPublic,aaPublic,NA,,North America (Canada or US),Public,Collotheca,Collothecidae,Collothecaceae,NA,GMYC:151,NA,NA,italic(`,`)~(`,`),italic(`Collotheca campanulata`)~(`NA`)~(`GMYC:151`)~(`NA`),(`,NA,`)~(`,GMYC:151,`)~(`,NA,`),(`NA`)~(`GMYC:151`)~(`NA`)
19,CTM001_10|Platyias_quadricornis1|COI_5P|HQ944301,CTM001-10|Platyias-quadricornis1|COI-5P|HQ944301,CTM001-10_Platyias-quadricornis1_COI-5P_HQ944301,CTM001-10,Platyias-quadricornis1,Platyias quadricornis,aaPublic,aaPublic,BOLD:AAN2886,,NA,Public,Platyias,Brachionidae,Ploima,CTM0001,GMYC:84,Mexico,Othon P. Blanco,italic(`,`)~(`,`),italic(`Platyias quadricornis`)~(`BOLD:AAN2886`)~(`GMYC:84`)~(`Mexico`),(`,BOLD:AAN2886,`)~(`,GMYC:84,`)~(`,Mexico,`),(`BOLD:AAN2886`)~(`GMYC:84`)~(`Mexico`)
20,CTM061_10|Lecane_bulla_AEG9|COI_5P|HQ944348,CTM061-10|Lecane-bulla_AEG9|COI-5P|HQ944348,CTM061-10_Lecane-bulla_AEG9_COI-5P_HQ944348,CTM061-10,Lecane-bulla AEG9,Lecane bulla,aaPublic,aaPublic,BOLD:ABA0369,,NA,Public,Lecane,Lecanidae,Ploima,CTM0061,GMYC:120,Mexico,Catemaco,italic(`,`)~(`,`),italic(`Lecane bulla`)~(`BOLD:ABA0369`)~(`GMYC:120`)~(`Mexico`),(`,BOLD:ABA0369,`)~(`,GMYC:120,`)~(`,Mexico,`),(`BOLD:ABA0369`)~(`GMYC:120`)~(`Mexico`)
21,CTM062_10|Lecane_bulla|COI_5P|HQ944349,CTM062-10|Lecane-bulla|COI-5P|HQ944349,CTM062-10_Lecane-bulla_COI-5P_HQ944349,CTM062-10,Lecane-bulla,Lecane bulla,aaPublic,aaPublic,BOLD:AAN2895,,NA,Public,Lecane,Lecanidae,Ploima,CTM0062,GMYC:119,Mexico,Catemaco,italic(`,`)~(`,`),italic(`Lecane bulla`)~(`BOLD:AAN2895`)~(`GMYC:119`)~(`Mexico`),(`,BOLD:AAN2895,`)~(`,GMYC:119,`)~(`,Mexico,`),(`BOLD:AAN2895`)~(`GMYC:119`)~(`Mexico`)
23,GBMAA1950_15|Brachionus_calyciflorus|COI_5P|KC495144,GBMAA1950-15|Brachionus-calyciflorus|COI-5P|KC495144,GBMAA1950-15_Brachionus-calyciflorus_COI-5P_KC495144,GBMAA1950-15,Brachionus-calyciflorus,Brachionus calyciflorus,aaPublic,aaPublic,BOLD:AAM1191,,NA,Public,Brachionus,Brachionidae,Ploima,KC495144,GMYC:89,China,NA,italic(`,`)~(`,`),italic(`Brachionus calyciflorus`)~(`BOLD:AAM1191`)~(`GMYC:89`)~(`China`),(`,BOLD:AAM1191,`)~(`,GMYC:89,`)~(`,China,`),(`BOLD:AAM1191`)~(`GMYC:89`)~(`China`)
24,GBMAA1973_15|Brachionus_angularis|COI_5P|KM051944,GBMAA1973-15|Brachionus-angularis|COI-5P|KM051944,GBMAA1973-15_Brachionus-angularis_COI-5P_KM051944,GBMAA1973-15,Brachionus-angularis,Brachionus angularis,aaPublic,aaPublic,BOLD:ACS3733,,NA,Public,Brachionus,Brachionidae,Ploima,KM051944,GMYC:92,Greece,Lake Koronia,italic(`,`)~(`,`),italic(`Brachionus angularis`)~(`BOLD:ACS3733`)~(`GMYC:92`)~(`Greece`),(`,BOLD:ACS3733,`)~(`,GMYC:92,`)~(`,Greece,`),(`BOLD:ACS3733`)~(`GMYC:92`)~(`Greece`)
22,GBMAA513_14|Polyarthra_dolichoptera|COI_5P|KJ460388,GBMAA513-14|Polyarthra-dolichoptera|COI-5P|KJ460388,GBMAA513-14_Polyarthra-dolichoptera_COI-5P_KJ460388,GBMAA513-14,Polyarthra-dolichoptera,Polyarthra dolichoptera,aaPublic,aaPublic,BOLD:ACH7773,,NA,Public,Polyarthra,Synchaetidae,Ploima,KJ460388,GMYC:101,Italy,NA,italic(`,`)~(`,`),italic(`Polyarthra dolichoptera`)~(`BOLD:ACH7773`)~(`GMYC:101`)~(`Italy`),(`,BOLD:ACH7773,`)~(`,GMYC:101,`)~(`,Italy,`),(`BOLD:ACH7773`)~(`GMYC:101`)~(`Italy`)
25,GBMIN139567_18|Asplanchna_sp._WM_2017b|COI_5P|LC215491,GBMIN139567-18|Asplanchna-sp._WM-2017b|COI-5P|LC215491,GBMIN139567-18_Asplanchna-sp._WM-2017b_COI-5P_LC215491,GBMIN139567-18,Asplanchna-sp. WM-2017b,Asplanchna priodonta,aaPublic,aaPublic,BOLD:AAZ3168,,NA,Public,Asplanchna,Asplanchnidae,Ploima,LC215491,GMYC:145,Japan,Lake Kasumigaura,italic(`,`)~(`,`),italic(`Asplanchna priodonta`)~(`BOLD:AAZ3168`)~(`GMYC:145`)~(`Japan`),(`,BOLD:AAZ3168,`)~(`,GMYC:145,`)~(`,Japan,`),(`BOLD:AAZ3168`)~(`GMYC:145`)~(`Japan`)
26,GBMIN139609_18|Brachionus_calyciflorus|COI_5P|KX495817,GBMIN139609-18|Brachionus-calyciflorus|COI-5P|KX495817,GBMIN139609-18_Brachionus-calyciflorus_COI-5P_KX495817,GBMIN139609-18,Brachionus-calyciflorus,Brachionus calyciflorus,aaPublic,aaPublic,BOLD:AAM1196,,NA,Public,Brachionus,Brachionidae,Ploima,KX495817,GMYC:90,China,NA,italic(`,`)~(`,`),italic(`Brachionus calyciflorus`)~(`BOLD:AAM1196`)~(`GMYC:90`)~(`China`),(`,BOLD:AAM1196,`)~(`,GMYC:90,`)~(`,China,`),(`BOLD:AAM1196`)~(`GMYC:90`)~(`China`)
