fasta order,tip_labels,tip_labels_xx,processid,species,species_name_tidy,species_name_barcode_gap,Locality,Source_type,Genus,family,order,sampleid,bin_uri,genus_name,species_name,country,region,tip_labels_previous,new_names_public,new_names_NZ,new_labels
55,GBSP10209_16|Polyarthra_dolichoptera|COI_5P|KJ460407,GBSP10209-16|Polyarthra-dolichoptera|COI-5P|KJ460407,GBSP10209-16,Polyarthra-dolichoptera,Polyarthra dolichoptera,Polyarthra dolichoptera,NA,Public,Polyarthra,Synchaetidae,Ploima,KJ460407,BOLD:ACC0030,Polyarthra,Polyarthra dolichoptera,Italy,NA,GBSP10209-16_Polyarthra-dolichoptera_COI-5P_KJ460407,Polyarthra-dolichoptera (KJ460407)(GBSP10209-16)(Italy),Polyarthra-dolichoptera (GBSP10209-16)(),Polyarthra-dolichoptera (KJ460407)(GBSP10209-16)(Italy)
56,GBSP10915_19|Brachionus_quadridentatus|COI_5P|KU720083,GBSP10915-19|Brachionus-quadridentatus|COI-5P|KU720083,GBSP10915-19,Brachionus-quadridentatus,Brachionus quadridentatus,Brachionus quadridentatus,NA,Public,Brachionus,Brachionidae,Ploima,KU720083,BOLD:ADW0428,Brachionus,Brachionus quadridentatus,China,NA,GBSP10915-19_Brachionus-quadridentatus_COI-5P_KU720083,Brachionus-quadridentatus (KU720083)(GBSP10915-19)(China),Brachionus-quadridentatus (GBSP10915-19)(),Brachionus-quadridentatus (KU720083)(GBSP10915-19)(China)
57,GBSP15070_19|Lecane_bulla|COI_5P|EU188932,GBSP15070-19|Lecane-bulla|COI-5P|EU188932,GBSP15070-19,Lecane-bulla,Lecane bulla,Lecane bulla,NA,Public,Lecane,Lecanidae,Ploima,EU188932,NA,Lecane,Lecane bulla,NA,NA,GBSP15070-19_Lecane-bulla_COI-5P_EU188932,Lecane-bulla (EU188932)(GBSP15070-19)(),Lecane-bulla (GBSP15070-19)(),Lecane-bulla (EU188932)(GBSP15070-19)()
58,GBSP15071_19|Lecane_bulla|COI_5P|EU188927,GBSP15071-19|Lecane-bulla|COI-5P|EU188927,GBSP15071-19,Lecane-bulla,Lecane bulla,Lecane bulla,NA,Public,Lecane,Lecanidae,Ploima,EU188927,NA,Lecane,Lecane bulla,NA,NA,GBSP15071-19_Lecane-bulla_COI-5P_EU188927,Lecane-bulla (EU188927)(GBSP15071-19)(),Lecane-bulla (GBSP15071-19)(),Lecane-bulla (EU188927)(GBSP15071-19)()
59,GBSP15159_19|Brachionus_calyciflorus|COI_5P|KT730031,GBSP15159-19|Brachionus-calyciflorus|COI-5P|KT730031,GBSP15159-19,Brachionus-calyciflorus,Brachionus calyciflorus,Brachionus calyciflorus,NA,Public,Brachionus,Brachionidae,Ploima,KT730031,BOLD:AAT8863,Brachionus,Brachionus calyciflorus,Netherlands,NA,GBSP15159-19_Brachionus-calyciflorus_COI-5P_KT730031,Brachionus-calyciflorus (KT730031)(GBSP15159-19)(Netherlands),Brachionus-calyciflorus (GBSP15159-19)(),Brachionus-calyciflorus (KT730031)(GBSP15159-19)(Netherlands)
60,GBSP15186_19|Polyarthra_vulgaris|COI_5P|KJ460380,GBSP15186-19|Polyarthra-vulgaris|COI-5P|KJ460380,GBSP15186-19,Polyarthra-vulgaris,Polyarthra vulgaris,Polyarthra vulgaris,NA,Public,Polyarthra,Synchaetidae,Ploima,KJ460380,NA,Polyarthra,Polyarthra vulgaris,Italy,NA,GBSP15186-19_Polyarthra-vulgaris_COI-5P_KJ460380,Polyarthra-vulgaris (KJ460380)(GBSP15186-19)(Italy),Polyarthra-vulgaris (GBSP15186-19)(),Polyarthra-vulgaris (KJ460380)(GBSP15186-19)(Italy)
61,GBSP15374_19|Keratella_cochlearis|COI_5P|KT986365,GBSP15374-19|Keratella-cochlearis|COI-5P|KT986365,GBSP15374-19,Keratella-cochlearis,Keratella cochlearis,Keratella cochlearis,NA,Public,Keratella,Brachionidae,Ploima,KT986365,BOLD:AAZ5138,Keratella,Keratella cochlearis,NA,NA,GBSP15374-19_Keratella-cochlearis_COI-5P_KT986365,Keratella-cochlearis (KT986365)(GBSP15374-19)(),Keratella-cochlearis (GBSP15374-19)(),Keratella-cochlearis (KT986365)(GBSP15374-19)()
62,GBSP15391_19|Keratella_cochlearis|COI_5P|KT986484,GBSP15391-19|Keratella-cochlearis|COI-5P|KT986484,GBSP15391-19,Keratella-cochlearis,Keratella cochlearis,Keratella cochlearis,NA,Public,Keratella,Brachionidae,Ploima,KT986484,BOLD:ADL9733,Keratella,Keratella cochlearis,NA,NA,GBSP15391-19_Keratella-cochlearis_COI-5P_KT986484,Keratella-cochlearis (KT986484)(GBSP15391-19)(),Keratella-cochlearis (GBSP15391-19)(),Keratella-cochlearis (KT986484)(GBSP15391-19)()
63,GBSP15483_19|Brachionus_angularis|COI_5P|KY749380,GBSP15483-19|Brachionus-angularis|COI-5P|KY749380,GBSP15483-19,Brachionus-angularis,Brachionus angularis,Brachionus angularis,NA,Public,Brachionus,Brachionidae,Ploima,KY749380,BOLD:ADX6006,Brachionus,Brachionus angularis,Spain,NA,GBSP15483-19_Brachionus-angularis_COI-5P_KY749380,Brachionus-angularis (KY749380)(GBSP15483-19)(Spain),Brachionus-angularis (GBSP15483-19)(),Brachionus-angularis (KY749380)(GBSP15483-19)(Spain)
64,GBSP15494_19|Brachionus_quadridentatus|COI_5P|KY749407,GBSP15494-19|Brachionus-quadridentatus|COI-5P|KY749407,GBSP15494-19,Brachionus-quadridentatus,Brachionus quadridentatus,Brachionus quadridentatus,NA,Public,Brachionus,Brachionidae,Ploima,KY749407,BOLD:ABA7390,Brachionus,Brachionus quadridentatus,Spain,NA,GBSP15494-19_Brachionus-quadridentatus_COI-5P_KY749407,Brachionus-quadridentatus (KY749407)(GBSP15494-19)(Spain),Brachionus-quadridentatus (GBSP15494-19)(),Brachionus-quadridentatus (KY749407)(GBSP15494-19)(Spain)
65,GBSP15524_19|Hexarthra_mira|COI_5P|KY749458,GBSP15524-19|Hexarthra-mira|COI-5P|KY749458,GBSP15524-19,Hexarthra-mira,Hexarthra mira,Hexarthra mira,NA,Public,Hexarthra,Hexarthridae,Flosculariacea,KY749458,BOLD:ADW7310,Hexarthra,Hexarthra mira,Spain,NA,GBSP15524-19_Hexarthra-mira_COI-5P_KY749458,Hexarthra-mira (KY749458)(GBSP15524-19)(Spain),Hexarthra-mira (GBSP15524-19)(),Hexarthra-mira (KY749458)(GBSP15524-19)(Spain)
66,GBSP15536_19|Keratella_tropica|COI_5P|KY749470,GBSP15536-19|Keratella-tropica|COI-5P|KY749470,GBSP15536-19,Keratella-tropica,Keratella tropica,Keratella tropica,NA,Public,Keratella,Brachionidae,Ploima,KY749470,BOLD:ADW6739,Keratella,Keratella tropica,Spain,NA,GBSP15536-19_Keratella-tropica_COI-5P_KY749470,Keratella-tropica (KY749470)(GBSP15536-19)(Spain),Keratella-tropica (GBSP15536-19)(),Keratella-tropica (KY749470)(GBSP15536-19)(Spain)
67,GBSP15542_19|Keratella_tropica|COI_5P|KY749476,GBSP15542-19|Keratella-tropica|COI-5P|KY749476,GBSP15542-19,Keratella-tropica,Keratella tropica,Keratella tropica,NA,Public,Keratella,Brachionidae,Ploima,KY749476,BOLD:ADW6738,Keratella,Keratella tropica,Spain,NA,GBSP15542-19_Keratella-tropica_COI-5P_KY749476,Keratella-tropica (KY749476)(GBSP15542-19)(Spain),Keratella-tropica (GBSP15542-19)(),Keratella-tropica (KY749476)(GBSP15542-19)(Spain)
68,GBSP15547_19|Filinia_longiseta|COI_5P|KY749484,GBSP15547-19|Filinia-longiseta|COI-5P|KY749484,GBSP15547-19,Filinia-longiseta,Filinia longiseta,Filinia longiseta,NA,Public,Filinia,Filiniidae,Flosculariacea,KY749484,BOLD:ADW6405,Filinia,Filinia longiseta,Spain,NA,GBSP15547-19_Filinia-longiseta_COI-5P_KY749484,Filinia-longiseta (KY749484)(GBSP15547-19)(Spain),Filinia-longiseta (GBSP15547-19)(),Filinia-longiseta (KY749484)(GBSP15547-19)(Spain)
69,GBSP15566_19|Trichocerca_similis|COI_5P|KY749503,GBSP15566-19|Trichocerca-similis|COI-5P|KY749503,GBSP15566-19,Trichocerca-similis,Trichocerca similis,Trichocerca similis,NA,Public,Trichocerca,Trichocercidae,Ploima,KY749503,BOLD:ADX4662,Trichocerca,Trichocerca similis,Spain,NA,GBSP15566-19_Trichocerca-similis_COI-5P_KY749503,Trichocerca-similis (KY749503)(GBSP15566-19)(Spain),Trichocerca-similis (GBSP15566-19)(),Trichocerca-similis (KY749503)(GBSP15566-19)(Spain)
70,GBSP15593_19|Lecane_closterocerca|COI_5P|KY749535,GBSP15593-19|Lecane-closterocerca|COI-5P|KY749535,GBSP15593-19,Lecane-closterocerca,Lecane closterocerca,Lecane closterocerca,NA,Public,Lecane,Lecanidae,Ploima,KY749535,BOLD:ADX1677,Lecane,Lecane closterocerca,Spain,NA,GBSP15593-19_Lecane-closterocerca_COI-5P_KY749535,Lecane-closterocerca (KY749535)(GBSP15593-19)(Spain),Lecane-closterocerca (GBSP15593-19)(),Lecane-closterocerca (KY749535)(GBSP15593-19)(Spain)
71,GBSP15598_19|Asplanchna_brightwellii|COI_5P|KY749540,GBSP15598-19|Asplanchna-brightwellii|COI-5P|KY749540,GBSP15598-19,Asplanchna-brightwellii,Asplanchna brightwellii,Asplanchna brightwellii,NA,Public,Asplanchna,Asplanchnidae,Ploima,KY749540,BOLD:ADW7707,Asplanchna,Asplanchna brightwellii,Spain,NA,GBSP15598-19_Asplanchna-brightwellii_COI-5P_KY749540,Asplanchna-brightwellii (KY749540)(GBSP15598-19)(Spain),Asplanchna-brightwellii (GBSP15598-19)(),Asplanchna-brightwellii (KY749540)(GBSP15598-19)(Spain)
72,GBSP15633_19|Asplanchna_sp._WM_2017b|COI_5P|LC215492,GBSP15633-19|Asplanchna-sp._WM-2017b|COI-5P|LC215492,GBSP15633-19,Asplanchna-sp. WM-2017b,Asplanchna sp.,Asplanchna priodonta,NA,Public,Asplanchna,Asplanchnidae,Ploima,LC215492,BOLD:AAZ3168,Asplanchna,Asplanchna sp. WM-2017b,Japan,NA,GBSP15633-19_Asplanchna-sp._WM-2017b_COI-5P_LC215492,Asplanchna-sp. WM-2017b (LC215492)(GBSP15633-19)(Japan),Asplanchna-sp. WM-2017b (GBSP15633-19)(),Asplanchna-sp. WM-2017b (LC215492)(GBSP15633-19)(Japan)
73,GBSP15647_19|Keratella_sp._WM_2017a|COI_5P|LC215527,GBSP15647-19|Keratella-sp._WM-2017a|COI-5P|LC215527,GBSP15647-19,Keratella-sp. WM-2017a,Keratella sp.,Keratella cochlearis,NA,Public,Keratella,Brachionidae,Ploima,LC215527,BOLD:AAZ5138,Keratella,Keratella sp. WM-2017a,Japan,NA,GBSP15647-19_Keratella-sp._WM-2017a_COI-5P_LC215527,Keratella-sp. WM-2017a (LC215527)(GBSP15647-19)(Japan),Keratella-sp. WM-2017a (GBSP15647-19)(),Keratella-sp. WM-2017a (LC215527)(GBSP15647-19)(Japan)
74,GBSP15648_19|Keratella_sp._WM_2017a|COI_5P|LC215530,GBSP15648-19|Keratella-sp._WM-2017a|COI-5P|LC215530,GBSP15648-19,Keratella-sp. WM-2017a,Keratella sp.,Keratella cochlearis,NA,Public,Keratella,Brachionidae,Ploima,LC215530,BOLD:AAZ5138,Keratella,Keratella sp. WM-2017a,Japan,NA,GBSP15648-19_Keratella-sp._WM-2017a_COI-5P_LC215530,Keratella-sp. WM-2017a (LC215530)(GBSP15648-19)(Japan),Keratella-sp. WM-2017a (GBSP15648-19)(),Keratella-sp. WM-2017a (LC215530)(GBSP15648-19)(Japan)
75,GBSP15657_19|Keratella_sp._WM_2017d|COI_5P|LC215543,GBSP15657-19|Keratella-sp._WM-2017d|COI-5P|LC215543,GBSP15657-19,Keratella-sp. WM-2017d,Keratella sp.,Keratella tropica,NA,Public,Keratella,Brachionidae,Ploima,LC215543,BOLD:ADW6632,Keratella,Keratella sp. WM-2017d,Japan,NA,GBSP15657-19_Keratella-sp._WM-2017d_COI-5P_LC215543,Keratella-sp. WM-2017d (LC215543)(GBSP15657-19)(Japan),Keratella-sp. WM-2017d (GBSP15657-19)(),Keratella-sp. WM-2017d (LC215543)(GBSP15657-19)(Japan)
76,GBSP15658_19|Keratella_sp._WM_2017e|COI_5P|LC215549,GBSP15658-19|Keratella-sp._WM-2017e|COI-5P|LC215549,GBSP15658-19,Keratella-sp. WM-2017e,Keratella sp.,Keratella tropica,NA,Public,Keratella,Brachionidae,Ploima,LC215549,BOLD:ADM1238,Keratella,Keratella sp. WM-2017e,Japan,NA,GBSP15658-19_Keratella-sp._WM-2017e_COI-5P_LC215549,Keratella-sp. WM-2017e (LC215549)(GBSP15658-19)(Japan),Keratella-sp. WM-2017e (GBSP15658-19)(),Keratella-sp. WM-2017e (LC215549)(GBSP15658-19)(Japan)
77,GBSP15661_19|Polyarthra_sp._WM_2017a|COI_5P|LC215558,GBSP15661-19|Polyarthra-sp._WM-2017a|COI-5P|LC215558,GBSP15661-19,Polyarthra-sp. WM-2017a,Polyarthra sp.,Polyarthra dolichoptera,NA,Public,Polyarthra,Synchaetidae,Ploima,LC215558,BOLD:ACH6149,Polyarthra,Polyarthra sp. WM-2017a,Japan,NA,GBSP15661-19_Polyarthra-sp._WM-2017a_COI-5P_LC215558,Polyarthra-sp. WM-2017a (LC215558)(GBSP15661-19)(Japan),Polyarthra-sp. WM-2017a (GBSP15661-19)(),Polyarthra-sp. WM-2017a (LC215558)(GBSP15661-19)(Japan)
78,GBSP15674_19|Filinia_sp._WM_2017a|COI_5P|LC215595,GBSP15674-19|Filinia-sp._WM-2017a|COI-5P|LC215595,GBSP15674-19,Filinia-sp. WM-2017a,Filinia sp.,Filinia sp.,NA,Public,Filinia,Filiniidae,Flosculariacea,LC215595,BOLD:ADV9603,Filinia,Filinia sp. WM-2017a,Japan,NA,GBSP15674-19_Filinia-sp._WM-2017a_COI-5P_LC215595,Filinia-sp. WM-2017a (LC215595)(GBSP15674-19)(Japan),Filinia-sp. WM-2017a (GBSP15674-19)(),Filinia-sp. WM-2017a (LC215595)(GBSP15674-19)(Japan)
79,GBSP15675_19|Filinia_sp._WM_2017b|COI_5P|LC215596,GBSP15675-19|Filinia-sp._WM-2017b|COI-5P|LC215596,GBSP15675-19,Filinia-sp. WM-2017b,Filinia sp.,Filinia sp.,NA,Public,Filinia,Filiniidae,Flosculariacea,LC215596,BOLD:ADW1460,Filinia,Filinia sp. WM-2017b,Japan,NA,GBSP15675-19_Filinia-sp._WM-2017b_COI-5P_LC215596,Filinia-sp. WM-2017b (LC215596)(GBSP15675-19)(Japan),Filinia-sp. WM-2017b (GBSP15675-19)(),Filinia-sp. WM-2017b (LC215596)(GBSP15675-19)(Japan)
80,GBSP15685_19|Trichocerca_sp._WM_2017f|COI_5P|LC215612,GBSP15685-19|Trichocerca-sp._WM-2017f|COI-5P|LC215612,GBSP15685-19,Trichocerca-sp. WM-2017f,Trichocerca sp.,Trichocerca sp.,NA,Public,Trichocerca,Trichocercidae,Ploima,LC215612,BOLD:ADW0803,Trichocerca,Trichocerca sp. WM-2017f,Japan,NA,GBSP15685-19_Trichocerca-sp._WM-2017f_COI-5P_LC215612,Trichocerca-sp. WM-2017f (LC215612)(GBSP15685-19)(Japan),Trichocerca-sp. WM-2017f (GBSP15685-19)(),Trichocerca-sp. WM-2017f (LC215612)(GBSP15685-19)(Japan)
81,JX216696.1_Lecane_hamata_voucher_ECOCHZ_AG0590_cytochrome_oxidase_subunit_1__COI__gene__partial_cds__mitochondrial,"JX216696.1_Lecane_hamata_voucher_ECOCHZ-AG0590_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",JX216696,Lecane hamata,Lecane hamata,Lecane hamata,NA,Public,NA,NA,NA,NA,BOLD:AAX0055,NA,NA,NA,NA,NA,NA,NA,NA
82,JX216719.1_Lecane_luna_voucher_ECOCHZ_AG0877_cytochrome_oxidase_subunit_1__COI__gene__partial_cds__mitochondrial,"JX216719.1_Lecane_luna_voucher_ECOCHZ-AG0877_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",JX216719,Lecane luna,Lecane luna,Lecane luna,NA,Public,NA,NA,NA,NA,BOLD:AAV7935,NA,NA,NA,NA,NA,NA,NA,NA
83,KY749440.1_Brachionus_budapestinensis_isolate_DUL75AR_cytochrome_oxidase_subunit_I__COI__gene__partial_cds__mitochondrial,"KY749440.1_Brachionus_budapestinensis_isolate_DUL75AR_cytochrome_oxidase_subunit_I_(COI)_gene,_partial_cds;_mitochondrial",KY749440,Brachionus budapestanensis,Brachionus budapestanensis,Brachionus budapestanensis,NA,Public,NA,NA,NA,NA,BOLD:ACG5388,NA,NA,NA,NA,NA,NA,NA,NA
84,MK905787.1_Synchaeta_hutchingsi_isolate_030817_WHV_I1_cytochrome_c_oxidase_I__COI__gene__partial_cds__mitochondrial,"MK905787.1_Synchaeta_hutchingsi_isolate_030817_WHV_I1_cytochrome_c_oxidase_I_(COI)_gene,_partial_cds;_mitochondrial",MK905787,Synchaeta hutchingsi,Synchaeta hutchingsi,Synchaeta hutchingsi,NA,Public,NA,NA,NA,NA,BOLD:ACF7162,NA,NA,NA,NA,NA,NA,NA,NA
85,MZ438155.1_Polyarthra_dolichoptera_isolate_Pdol_QX_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438155.1_Polyarthra_dolichoptera_isolate_Pdol_QX_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",MZ438155,Polyarthra dolichoptera,Polyarthra dolichoptera,Polyarthra dolichoptera,NA,Public,NA,NA,NA,NA,BOLD:ADM0437,NA,NA,NA,NA,NA,NA,NA,NA
86,MZ438156.1_Polyarthra_dolichoptera_isolate_Pdol_HT_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438156.1_Polyarthra_dolichoptera_isolate_Pdol_HT_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",MZ438156,Polyarthra dolichoptera,Polyarthra dolichoptera,Polyarthra dolichoptera,NA,Public,NA,NA,NA,NA,BOLD:ADM0437,NA,NA,NA,NA,NA,NA,NA,NA
87,MZ438157.1_Polyarthra_dolichoptera_isolate_Pdol_MX_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438157.1_Polyarthra_dolichoptera_isolate_Pdol_MX_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",MZ438157,Polyarthra dolichoptera,Polyarthra dolichoptera,Polyarthra dolichoptera,NA,Public,NA,NA,NA,NA,BOLD:ADM0437,NA,NA,NA,NA,NA,NA,NA,NA
88,MZ438189.1_Keratella_tropica_isolate_Ktro_MX_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438189.1_Keratella_tropica_isolate_Ktro_MX_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",MZ438189,Keratella tropica,Keratella tropica,Keratella tropica,NA,Public,NA,NA,NA,NA,BOLD:ADM1238,NA,NA,NA,NA,NA,NA,NA,NA
89,MZ438190.1_Keratella_tropica_isolate_Ktro_QLS_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438190.1_Keratella_tropica_isolate_Ktro_QLS_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",MZ438190,Keratella tropica,Keratella tropica,Keratella tropica,NA,Public,NA,NA,NA,NA,BOLD:ADM1238,NA,NA,NA,NA,NA,NA,NA,NA
90,MZ438191.1_Keratella_tropica_isolate_Ktro_GS_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438191.1_Keratella_tropica_isolate_Ktro_GS_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",MZ438191,Keratella tropica,Keratella tropica,Keratella tropica,NA,Public,NA,NA,NA,NA,BOLD:ADM1238,NA,NA,NA,NA,NA,NA,NA,NA
91,MZ438192.1_Keratella_tropica_isolate_Ktro_CT_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438192.1_Keratella_tropica_isolate_Ktro_CT_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",MZ438192,Keratella tropica,Keratella tropica,Keratella tropica,NA,Public,NA,NA,NA,NA,BOLD:AAU3067,NA,NA,NA,NA,NA,NA,NA,NA
92,MZ438193.1_Keratella_tropica_isolate_Ktro_DB_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438193.1_Keratella_tropica_isolate_Ktro_DB_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",MZ438193,Keratella tropica,Keratella tropica,Keratella tropica,NA,Public,NA,NA,NA,NA,BOLD:AAU3067,NA,NA,NA,NA,NA,NA,NA,NA
93,MZ438194.1_Keratella_tropica_isolate_Ktro_SHB_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438194.1_Keratella_tropica_isolate_Ktro_SHB_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",MZ438194,Keratella tropica,Keratella tropica,Keratella tropica,NA,Public,NA,NA,NA,NA,BOLD:AAU3067,NA,NA,NA,NA,NA,NA,NA,NA
94,MZ438195.1_Keratella_tropica_isolate_Ktro_HS_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438195.1_Keratella_tropica_isolate_Ktro_HS_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",MZ438195,Keratella tropica,Keratella tropica,Keratella tropica,NA,Public,NA,NA,NA,NA,BOLD:AAU3067,NA,NA,NA,NA,NA,NA,NA,NA
95,MZ438196.1_Keratella_tropica_isolate_Ktro_SB_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438196.1_Keratella_tropica_isolate_Ktro_SB_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",MZ438196,Keratella tropica,Keratella tropica,Keratella tropica,NA,Public,NA,NA,NA,NA,BOLD:AAU3067,NA,NA,NA,NA,NA,NA,NA,NA
96,MZ438200.1_Brachionus_budapestinensis_isolate_Bbud_SB_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438200.1_Brachionus_budapestinensis_isolate_Bbud_SB_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",MZ438200,Brachionus budapestanensis,Brachionus budapestanensis,Brachionus budapestanensis,NA,Public,NA,NA,NA,NA,BOLD:AEJ0402,NA,NA,NA,NA,NA,NA,NA,NA
124,NZPL556_12|Ascomorpha_ovalis,NZPL556-12|Ascomorpha_ovalis,NZPL556-12,Ascomorpha-ovalis,Ascomorpha ovalis,Ascomorpha ovalis,Lake Taupo,DS-NZROT,Ascomorpha,Gastropodidae,Ploima,NA,BOLD:ABV4107,NA,NA,NA,NA,NZPL556-12_Ascomorpha-ovalis_Lake_Taupo,Ascomorpha-ovalis (NA)(NZPL556-12)(NA),Ascomorpha-ovalis (NZPL556-12)(Lake Taupo),Ascomorpha-ovalis (NZPL556-12)(Lake Taupo)
125,NZPL557_12|Ascomorpha_ovalis,NZPL557-12|Ascomorpha_ovalis,NZPL557-12,Ascomorpha-ovalis,Ascomorpha ovalis,Ascomorpha ovalis,Lake Taupo,DS-NZROT,Ascomorpha,Gastropodidae,Ploima,NA,BOLD:ABV4107,NA,NA,NA,NA,NZPL557-12_Ascomorpha-ovalis_Lake_Taupo,Ascomorpha-ovalis (NA)(NZPL557-12)(NA),Ascomorpha-ovalis (NZPL557-12)(Lake Taupo),Ascomorpha-ovalis (NZPL557-12)(Lake Taupo)
320,NZPLR259_13|Ascomorpha_sp.,NZPLR259-13|Ascomorpha_sp.,NZPLR259-13,Ascomorpha-sp.,Ascomorpha sp.,Ascomorpha sp.,Chapel Lake,DS-NZROT,Ascomorpha,Gastropodidae,Ploima,NA,BOLD:ACG5495,NA,NA,NA,NA,NZPLR259-13_Ascomorpha-sp._Chapel_Lake,Ascomorpha-sp. (NA)(NZPLR259-13)(NA),Ascomorpha-sp. (NZPLR259-13)(Chapel Lake),Ascomorpha-sp. (NZPLR259-13)(Chapel Lake)
321,NZPLR260_13|Ascomorpha_sp.,NZPLR260-13|Ascomorpha_sp.,NZPLR260-13,Ascomorpha-sp.,Ascomorpha sp.,Ascomorpha sp.,Chapel Lake,DS-NZROT,Ascomorpha,Gastropodidae,Ploima,NA,BOLD:ACG5495,NA,NA,NA,NA,NZPLR260-13_Ascomorpha-sp._Chapel_Lake,Ascomorpha-sp. (NA)(NZPLR260-13)(NA),Ascomorpha-sp. (NZPLR260-13)(Chapel Lake),Ascomorpha-sp. (NZPLR260-13)(Chapel Lake)
322,NZPLR261_13|Ascomorpha_sp.,NZPLR261-13|Ascomorpha_sp.,NZPLR261-13,Ascomorpha-sp.,Ascomorpha sp.,Ascomorpha sp.,Chapel Lake,DS-NZROT,Ascomorpha,Gastropodidae,Ploima,NA,BOLD:ACG5495,NA,NA,NA,NA,NZPLR261-13_Ascomorpha-sp._Chapel_Lake,Ascomorpha-sp. (NA)(NZPLR261-13)(NA),Ascomorpha-sp. (NZPLR261-13)(Chapel Lake),Ascomorpha-sp. (NZPLR261-13)(Chapel Lake)
120,NZPL545_12|Asplanchna_priodonta,NZPL545-12|Asplanchna_priodonta,NZPL545-12,Asplanchna-priodonta,Asplanchna priodonta,Asplanchna priodonta,Chapel Lake,DS-NZROT,Asplanchna,Asplanchnidae,Ploima,NA,BOLD:AAZ3168,NA,NA,NA,NA,NZPL545-12_Asplanchna-priodonta_Chapel_Lake,Asplanchna-priodonta (NA)(NZPL545-12)(NA),Asplanchna-priodonta (NZPL545-12)(Chapel Lake),Asplanchna-priodonta (NZPL545-12)(Chapel Lake)
121,NZPL546_12|Asplanchna_priodonta,NZPL546-12|Asplanchna_priodonta,NZPL546-12,Asplanchna-priodonta,Asplanchna priodonta,Asplanchna priodonta,Chapel Lake,DS-NZROT,Asplanchna,Asplanchnidae,Ploima,NA,BOLD:AAZ3168,NA,NA,NA,NA,NZPL546-12_Asplanchna-priodonta_Chapel_Lake,Asplanchna-priodonta (NA)(NZPL546-12)(NA),Asplanchna-priodonta (NZPL546-12)(Chapel Lake),Asplanchna-priodonta (NZPL546-12)(Chapel Lake)
126,NZPL558_12|Asplanchna_priodonta,NZPL558-12|Asplanchna_priodonta,NZPL558-12,Asplanchna-priodonta,Asplanchna priodonta,Asplanchna priodonta,Lake Taupo,DS-NZROT,Asplanchna,Asplanchnidae,Ploima,NA,BOLD:AAZ3168,NA,NA,NA,NA,NZPL558-12_Asplanchna-priodonta_Lake_Taupo,Asplanchna-priodonta (NA)(NZPL558-12)(NA),Asplanchna-priodonta (NZPL558-12)(Lake Taupo),Asplanchna-priodonta (NZPL558-12)(Lake Taupo)
127,NZPL559_12|Asplanchna_priodonta,NZPL559-12|Asplanchna_priodonta,NZPL559-12,Asplanchna-priodonta,Asplanchna priodonta,Asplanchna priodonta,Lake Taupo,DS-NZROT,Asplanchna,Asplanchnidae,Ploima,NA,BOLD:AAZ3168,NA,NA,NA,NA,NZPL559-12_Asplanchna-priodonta_Lake_Taupo,Asplanchna-priodonta (NA)(NZPL559-12)(NA),Asplanchna-priodonta (NZPL559-12)(Lake Taupo),Asplanchna-priodonta (NZPL559-12)(Lake Taupo)
