fasta order,tip_labels,tip_labels_xx,processid,species,species_name_tidy,species_name_barcode_gap,Locality,Source_type,Genus,family,order,sampleid,bin_uri,genus_name,species_name,country,region,tip_labels_previous,new_names_public,new_names_NZ,new_labels
277,NZPLR201_12|Filinia_cf._terminalis,NZPLR201-12|Filinia_cf._terminalis,NZPLR201-12,Filinia-cf. terminalis,Filinia cf. terminalis,Filinia cf. terminalis,Knighton Lake,DS-NZROT,Filinia,Filiniidae,Flosculariacea,NA,BOLD:ACA2813,NA,NA,NA,NA,NZPLR201-12_Filinia-cf._terminalis_Knighton_Lake,Filinia-cf. terminalis (NA)(NZPLR201-12)(NA),Filinia-cf. terminalis (NZPLR201-12)(Knighton Lake),Filinia-cf. terminalis (NZPLR201-12)(Knighton Lake)
278,NZPLR202_12|Filinia_cf._terminalis,NZPLR202-12|Filinia_cf._terminalis,NZPLR202-12,Filinia-cf. terminalis,Filinia cf. terminalis,Filinia cf. terminalis,Knighton Lake,DS-NZROT,Filinia,Filiniidae,Flosculariacea,NA,BOLD:ACA2813,NA,NA,NA,NA,NZPLR202-12_Filinia-cf._terminalis_Knighton_Lake,Filinia-cf. terminalis (NA)(NZPLR202-12)(NA),Filinia-cf. terminalis (NZPLR202-12)(Knighton Lake),Filinia-cf. terminalis (NZPLR202-12)(Knighton Lake)
318,NZPLR257_13|Filinia_novaezelandia,NZPLR257-13|Filinia_novaezelandia,NZPLR257-13,Filinia-novaezelandia,Filinia novaezelandia,Filinia novaezelandia,Oranga Lake,DS-NZROT,Filinia,Filiniidae,Flosculariacea,NA,BOLD:ACG5383,NA,NA,NA,NA,NZPLR257-13_Filinia-novaezelandia_Oranga_Lake,Filinia-novaezelandia (NA)(NZPLR257-13)(NA),Filinia-novaezelandia (NZPLR257-13)(Oranga Lake),Filinia-novaezelandia (NZPLR257-13)(Oranga Lake)
323,NZPLR262_13|Filinia_novaezelandia,NZPLR262-13|Filinia_novaezelandia,NZPLR262-13,Filinia-novaezelandia,Filinia novaezelandia,Filinia novaezelandia,Oranga Lake,DS-NZROT,Filinia,Filiniidae,Flosculariacea,NA,BOLD:ACG5383,NA,NA,NA,NA,NZPLR262-13_Filinia-novaezelandia_Oranga_Lake,Filinia-novaezelandia (NA)(NZPLR262-13)(NA),Filinia-novaezelandia (NZPLR262-13)(Oranga Lake),Filinia-novaezelandia (NZPLR262-13)(Oranga Lake)
324,NZPLR263_13|Filinia_novaezelandia,NZPLR263-13|Filinia_novaezelandia,NZPLR263-13,Filinia-novaezelandia,Filinia novaezelandia,Filinia novaezelandia,Oranga Lake,DS-NZROT,Filinia,Filiniidae,Flosculariacea,NA,BOLD:ACG5383,NA,NA,NA,NA,NZPLR263-13_Filinia-novaezelandia_Oranga_Lake,Filinia-novaezelandia (NA)(NZPLR263-13)(NA),Filinia-novaezelandia (NZPLR263-13)(Oranga Lake),Filinia-novaezelandia (NZPLR263-13)(Oranga Lake)
209,NZPLA073_13|Hexarthra_intermedia,NZPLA073-13|Hexarthra_intermedia,NZPLA073-13,Hexarthra-intermedia,Hexarthra intermedia,Hexarthra intermedia,Lake Waahi,DS-NZROT,Hexarthra,Hexarthridae,Flosculariacea,NA,BOLD:AAU5719,NA,NA,NA,NA,NZPLA073-13_Hexarthra-intermedia_Lake_Waahi,Hexarthra-intermedia (NA)(NZPLA073-13)(NA),Hexarthra-intermedia (NZPLA073-13)(Lake Waahi),Hexarthra-intermedia (NZPLA073-13)(Lake Waahi)
222,NZPLR013_11|Hexarthra_intermedia,NZPLR013-11|Hexarthra_intermedia,NZPLR013-11,Hexarthra-intermedia,Hexarthra intermedia,Hexarthra intermedia,Turtle Lake,DS-NZROT,Hexarthra,Hexarthridae,Flosculariacea,NA,BOLD:AAU5719,NA,NA,NA,NA,NZPLR013-11_Hexarthra-intermedia_Turtle_Lake,Hexarthra-intermedia (NA)(NZPLR013-11)(NA),Hexarthra-intermedia (NZPLR013-11)(Turtle Lake),Hexarthra-intermedia (NZPLR013-11)(Turtle Lake)
330,NZPLR387_14|Hexarthra_intermedia,NZPLR387-14|Hexarthra_intermedia,NZPLR387-14,Hexarthra-intermedia,Hexarthra intermedia,Hexarthra intermedia,Lake Rotoehu,DS-NZROT,Hexarthra,Hexarthridae,Flosculariacea,NA,BOLD:AAU5719,NA,NA,NA,NA,NZPLR387-14_Hexarthra-intermedia_Lake_Rotoehu,Hexarthra-intermedia (NA)(NZPLR387-14)(NA),Hexarthra-intermedia (NZPLR387-14)(Lake Rotoehu),Hexarthra-intermedia (NZPLR387-14)(Lake Rotoehu)
102,NZPL503_12|Keratella_procurva,NZPL503-12|Keratella_procurva,NZPL503-12,Keratella-procurva,Keratella procurva,Keratella procurva,Glasshouse Pond,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:ABU9212,NA,NA,NA,NA,NZPL503-12_Keratella-procurva_Glasshouse_Pond,Keratella-procurva (NA)(NZPL503-12)(NA),Keratella-procurva (NZPL503-12)(Glasshouse Pond),Keratella-procurva (NZPL503-12)(Glasshouse Pond)
103,NZPL504_12|Keratella_procurva,NZPL504-12|Keratella_procurva,NZPL504-12,Keratella-procurva,Keratella procurva,Keratella procurva,Glasshouse Pond,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAM5102,NA,NA,NA,NA,NZPL504-12_Keratella-procurva_Glasshouse_Pond,Keratella-procurva (NA)(NZPL504-12)(NA),Keratella-procurva (NZPL504-12)(Glasshouse Pond),Keratella-procurva (NZPL504-12)(Glasshouse Pond)
